X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long,Zip Codes,Community Districts,Borough Boundaries,City Council Districts,Police Precincts
-73.9709817796,40.7773554312,14D-PM-1019-07,14D,PM,2018-10-19,7,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9709817796369 40.7773554311586),,19,4,19,13
-73.9673160165,40.7766158001,15G-PM-1019-12,15G,PM,2018-10-19,12,Adult,Gray,,Gray+,,Above Ground,4,,True,True,True,True,True,,True,True,True,True,True,True,True,True,stared,POINT (-73.9673160165357 40.7766158001202),,19,4,19,13
-73.9676424600,40.7777766107,16F-AM-1008-01,16F,AM,2018-10-08,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,near fence,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9676424599715 40.7777766106807),,19,4,19,13
-73.9641552071,40.7908479528,30B-AM-1007-05,30B,AM,2018-10-07,5,Adult,Gray,,Gray+,,Above Ground,10,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9641552070803 40.7908479527923),,19,4,19,13
-73.9672950266,40.7782477518,17F-PM-1020-01,17F,PM,2018-10-20,1,Adult,Gray,Cinnamon,Gray+Cinnamon,,Above Ground,7,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9672950266018 40.7782477517567),,19,4,19,13
-73.9681722245,40.7835598263,22B-PM-1014-07,22B,PM,2018-10-14,7,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9681722244801 40.783559826281),,19,4,19,13
-73.9784009387,40.7677411912,2C-PM-1013-03,02C,PM,2018-10-13,3,Adult,Gray,White,Gray+White,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.978400938697 40.7677411911854),,19,4,19,13
-73.9649827807,40.7817322833,21F-AM-1018-06,21F,AM,2018-10-18,6,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9649827807341 40.7817322832767),,19,4,19,13
-73.9787040192,40.7679010247,2C-AM-1010-06,02C,AM,2018-10-10,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,stood still & watched me then jumped on a fence and ran away,True,True,True,True,True,True,True,True,,POINT (-73.9787040192473 40.7679010247281),,19,4,19,13
-73.9603031060,40.7943667736,35C-PM-1013-05,35C,PM,2018-10-13,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9603031059614 40.7943667735668),,19,4,19,13
-73.9629615594,40.7924176426,32B-PM-1010-06,32B,PM,2018-10-10,6,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9629615594409 40.7924176425827),,19,4,19,13
-73.9635689060,40.7901634349,30B-PM-1019-03,30B,PM,2018-10-19,3,Adult,Gray,Black,Gray+Black,,Above Ground,10,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9635689059841 40.790163434915),,19,4,19,13
-73.9708083587,40.7825429442,19A-PM-1013-03,19A,PM,2018-10-13,3,Adult,Gray,,Gray+,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9708083587471 40.7825429441583),,19,4,19,13
-73.9772422665,40.7734363292,8A-AM-1013-02,08A,AM,2018-10-13,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,playground,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9772422664657 40.773436329163),,19,4,19,13
-73.9718553362,40.7748584799,11D-AM-1010-05,11D,AM,2018-10-10,5,Adult,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9718553361982 40.7748584798761),,19,4,19,13
-73.9698843507,40.7803754188,18C-PM-1018-02,18C,PM,2018-10-18,2,Juvenile,Gray,Cinnamon,Gray+Cinnamon,,Ground Plane,FALSE,,True,True,True,True,True,,True,True,True,True,True,True,True,True,,POINT (-73.9698843507358 40.7803754187581),,19,4,19,13
